name,year,n
Alabama,2012,1
Alaska,2012,0
Arizona,2012,0
Arkansas,2012,0
California,2012,2
Colorado,2012,0
Connecticut,2012,0
Delaware,2012,0
District of Columbia,2012,0
Florida,2012,0
Georgia,2012,1
Hawaii,2012,0
Idaho,2012,0
Illinois,2012,1
Indiana,2012,1
Iowa,2012,0
Kansas,2012,1
Kentucky,2012,0
Louisiana,2012,0
Maine,2012,0
Maryland,2012,0
Massachusetts,2012,2
Michigan,2012,3
Minnesota,2012,0
Mississippi,2012,0
Missouri,2012,1
Montana,2012,0
Nebraska,2012,1
Nevada,2012,0
New Hampshire,2012,0
New Jersey,2012,5
New Mexico,2012,0
New York,2012,3
North Carolina,2012,0
North Dakota,2012,0
Ohio,2012,0
Oklahoma,2012,0
Oregon,2012,0
Pennsylvania,2012,0
Rhode Island,2012,0
South Carolina,2012,0
South Dakota,2012,0
Tennessee,2012,0
Texas,2012,2
Utah,2012,0
Vermont,2012,0
Virginia,2012,2
Washington,2012,2
West Virginia,2012,0
Wisconsin,2012,0
Wyoming,2012,0
NA,2012,8
Alabama,2013,5
Alaska,2013,0
Arizona,2013,1
Arkansas,2013,0
California,2013,17
Colorado,2013,2
Connecticut,2013,2
Delaware,2013,1
District of Columbia,2013,5
Florida,2013,2
Georgia,2013,4
Hawaii,2013,0
Idaho,2013,1
Illinois,2013,15
Indiana,2013,4
Iowa,2013,2
Kansas,2013,8
Kentucky,2013,8
Louisiana,2013,2
Maine,2013,2
Maryland,2013,5
Massachusetts,2013,9
Michigan,2013,12
Minnesota,2013,2
Mississippi,2013,0
Missouri,2013,5
Montana,2013,4
Nebraska,2013,2
Nevada,2013,3
New Hampshire,2013,0
New Jersey,2013,5
New Mexico,2013,2
New York,2013,9
North Carolina,2013,8
North Dakota,2013,0
Ohio,2013,3
Oklahoma,2013,2
Oregon,2013,1
Pennsylvania,2013,5
Rhode Island,2013,0
South Carolina,2013,1
South Dakota,2013,0
Tennessee,2013,4
Texas,2013,9
Utah,2013,1
Vermont,2013,1
Virginia,2013,8
Washington,2013,6
West Virginia,2013,0
Wisconsin,2013,13
Wyoming,2013,0
NA,2013,31
Alabama,2014,7
Alaska,2014,1
Arizona,2014,5
Arkansas,2014,2
California,2014,40
Colorado,2014,9
Connecticut,2014,8
Delaware,2014,0
District of Columbia,2014,3
Florida,2014,12
Georgia,2014,8
Hawaii,2014,0
Idaho,2014,1
Illinois,2014,59
Indiana,2014,4
Iowa,2014,7
Kansas,2014,17
Kentucky,2014,32
Louisiana,2014,3
Maine,2014,7
Maryland,2014,20
Massachusetts,2014,14
Michigan,2014,24
Minnesota,2014,8
Mississippi,2014,1
Missouri,2014,6
Montana,2014,3
Nebraska,2014,1
Nevada,2014,3
New Hampshire,2014,3
New Jersey,2014,12
New Mexico,2014,1
New York,2014,15
North Carolina,2014,8
North Dakota,2014,1
Ohio,2014,10
Oklahoma,2014,2
Oregon,2014,7
Pennsylvania,2014,11
Rhode Island,2014,4
South Carolina,2014,4
South Dakota,2014,2
Tennessee,2014,9
Texas,2014,26
Utah,2014,4
Vermont,2014,7
Virginia,2014,9
Washington,2014,17
West Virginia,2014,0
Wisconsin,2014,15
Wyoming,2014,0
NA,2014,124
Alabama,2015,17
Alaska,2015,0
Arizona,2015,6
Arkansas,2015,9
California,2015,90
Colorado,2015,14
Connecticut,2015,29
Delaware,2015,4
